start_ip,end_ip,start_ip_hex,end_ip_hex,prefix_len,country,province,city,district,isp,division_code,latitude,longitude,geo_level,idc_vendor,cidr
2400:cc80::,2400:cc80:ffff:ffff:ffff:ffff:ffff:ffff,2400cc80000000000000000000000000,2400cc80ffffffffffffffffffffffff,32,中国,北京,,,,110000,39.904179,116.407387,province,,2400:cc80::/32
2400:cca0::,2400:cca0:ffff:ffff:ffff:ffff:ffff:ffff,2400cca0000000000000000000000000,2400cca0ffffffffffffffffffffffff,32,中国香港,香港,,,香港,,,,country,,2400:cca0::/32
2400:ccc0::,2400:ccc0:ffff:ffff:ffff:ffff:ffff:ffff,2400ccc0000000000000000000000000,2400ccc0ffffffffffffffffffffffff,32,中国,,,,,,,,country,,2400:ccc0::/32
2400:cd40::,2400:cd40:ffff:ffff:ffff:ffff:ffff:ffff,2400cd40000000000000000000000000,2400cd40ffffffffffffffffffffffff,32,中国,,,,,,,,country,,2400:cd40::/32
2400:cda0::,2400:cda0:ffff:ffff:ffff:ffff:ffff:ffff,2400cda0000000000000000000000000,2400cda0ffffffffffffffffffffffff,32,中国,,,,,,,,country,,2400:cda0::/32
2400:cdc0::,2400:cdc0:ffff:ffff:ffff:ffff:ffff:ffff,2400cdc0000000000000000000000000,2400cdc0ffffffffffffffffffffffff,32,中国,,,,,,,,country,,2400:cdc0::/32
2400:ce00::,2400:ce00:ffff:ffff:ffff:ffff:ffff:ffff,2400ce00000000000000000000000000,2400ce00ffffffffffffffffffffffff,32,中国,四川,成都,,,510100,30.572961,104.066301,city,,2400:ce00::/32
2400:ce40::,2400:ce40:ffff:ffff:ffff:ffff:ffff:ffff,2400ce40000000000000000000000000,2400ce40ffffffffffffffffffffffff,32,中国,,,,,,,,country,,2400:ce40::/32
2400:cec0::,2400:cec0:ffff:ffff:ffff:ffff:ffff:ffff,2400cec0000000000000000000000000,2400cec0ffffffffffffffffffffffff,32,中国香港,香港,,,香港,,,,country,,2400:cec0::/32
2400:cf20::,2400:cf20:ffff:ffff:ffff:ffff:ffff:ffff,2400cf20000000000000000000000000,2400cf20ffffffffffffffffffffffff,32,中国香港,香港,,,香港,,,,country,,2400:cf20::/32
2400:cf40::,2400:cf40:ffff:ffff:ffff:ffff:ffff:ffff,2400cf40000000000000000000000000,2400cf40ffffffffffffffffffffffff,32,中国,,,,,,,,country,,2400:cf40::/32
2400:cfc0::,2400:cfc0:ffff:ffff:ffff:ffff:ffff:ffff,2400cfc0000000000000000000000000,2400cfc0ffffffffffffffffffffffff,32,中国,,,,,,,,country,,2400:cfc0::/32
2400:d0a0::,2400:d0a0:ffff:ffff:ffff:ffff:ffff:ffff,2400d0a0000000000000000000000000,2400d0a0ffffffffffffffffffffffff,32,中国,,,,,,,,country,,2400:d0a0::/32
2400:d0c0::,2400:d0c0:ffff:ffff:ffff:ffff:ffff:ffff,2400d0c0000000000000000000000000,2400d0c0ffffffffffffffffffffffff,32,中国,,,,,,,,country,,2400:d0c0::/32
2400:d100::,2400:d100:ffff:ffff:ffff:ffff:ffff:ffff,2400d100000000000000000000000000,2400d100ffffffffffffffffffffffff,32,中国,北京,,,,110000,39.904179,116.407387,province,,2400:d100::/32
2400:d160::,2400:d160:ffff:ffff:ffff:ffff:ffff:ffff,2400d160000000000000000000000000,2400d160ffffffffffffffffffffffff,32,中国,,,,,,,,country,,2400:d160::/32
2400:d1c0::,2400:d1c0:ffff:ffff:ffff:ffff:ffff:ffff,2400d1c0000000000000000000000000,2400d1c0ffffffffffffffffffffffff,32,中国,,,,,,,,country,,2400:d1c0::/32
2400:d200::,2400:d200:ffff:ffff:ffff:ffff:ffff:ffff,2400d200000000000000000000000000,2400d200ffffffffffffffffffffffff,32,中国,广东,深圳,,,440300,22.543527,114.057939,city,,2400:d200::/32
2400:d300::,2400:d300:ffff:ffff:ffff:ffff:ffff:ffff,2400d300000000000000000000000000,2400d300ffffffffffffffffffffffff,32,中国,河北,秦皇岛,,,130300,39.888243,119.52022,city,,2400:d300::/32
2400:d440::,2400:d440:ffff:ffff:ffff:ffff:ffff:ffff,2400d440000000000000000000000000,2400d440ffffffffffffffffffffffff,32,中国,,,,,,,,country,,2400:d440::/32
2400:d4a0::,2400:d4a0:ffff:ffff:ffff:ffff:ffff:ffff,2400d4a0000000000000000000000000,2400d4a0ffffffffffffffffffffffff,32,中国台湾,台湾,,,台湾,,,,country,,2400:d4a0::/32
2400:d580::,2400:d580:ffff:ffff:ffff:ffff:ffff:ffff,2400d580000000000000000000000000,2400d580ffffffffffffffffffffffff,32,中国台湾,台湾,,,台湾,,,,country,,2400:d580::/32
2400:d600::,2400:d600:ffff:ffff:ffff:ffff:ffff:ffff,2400d600000000000000000000000000,2400d600ffffffffffffffffffffffff,32,中国,北京,,,,110000,39.904179,116.407387,province,,2400:d600::/32
2400:d6a0::,2400:d6a0:ffff:ffff:ffff:ffff:ffff:ffff,2400d6a0000000000000000000000000,2400d6a0ffffffffffffffffffffffff,32,中国,,,,,,,,country,,2400:d6a0::/32
2400:d6c0::,2400:d6c0:ffff:ffff:ffff:ffff:ffff:ffff,2400d6c0000000000000000000000000,2400d6c0ffffffffffffffffffffffff,32,中国,,,,,,,,country,,2400:d6c0::/32
2400:d700::,2400:d700:ffff:ffff:ffff:ffff:ffff:ffff,2400d700000000000000000000000000,2400d700ffffffffffffffffffffffff,32,中国香港,香港,,,香港,,,,country,,2400:d700::/32
